<<<<<<< HEAD
"12.34+5.67j",	"12.34-5.67j"
"3.5+2.5i",	"3.5-2.5i"
"3.5+i",	"3.5-i"
"3.5",		"3.5"
"3.5-i",	"3.5+i"
"3.5-2.5i",	"3.5+2.5i"
"1+2.5i",	"1-2.5i"
"1+i",		"1-i"
"1",		"1"
"1-i",		"1+i"
"1-2.5i",	"1+2.5i"
"2.5i",		"-2.5i"
"i",		"-i"
"0",		"0"
"-i",		"i"
"-2.5i",	"2.5i"
"-1+2.5i",	"-1-2.5i"
"-1+i",		"-1-i"
"-1",		"-1"
"-1-i",		"-1+i"
"-1-2.5i",	"-1+2.5i"
"-3.5+2.5i",	"-3.5-2.5i"
"-3.5+i",	"-3.5-i"
"-3.5",		"-3.5"
"-3.5-i",	"-3.5+i"
"-3.5-2.5i",	"-3.5+2.5i"
=======
"12.34+5.67j",	"12.34-5.67j"
"3.5+2.5i",	"3.5-2.5i"
"3.5+i",	"3.5-i"
"3.5",		"3.5"
"3.5-i",	"3.5+i"
"3.5-2.5i",	"3.5+2.5i"
"1+2.5i",	"1-2.5i"
"1+i",		"1-i"
"1",		"1"
"1-i",		"1+i"
"1-2.5i",	"1+2.5i"
"2.5i",		"-2.5i"
"i",		"-i"
"0",		"0"
"-i",		"i"
"-2.5i",	"2.5i"
"-1+2.5i",	"-1-2.5i"
"-1+i",		"-1-i"
"-1",		"-1"
"-1-i",		"-1+i"
"-1-2.5i",	"-1+2.5i"
"-3.5+2.5i",	"-3.5-2.5i"
"-3.5+i",	"-3.5-i"
"-3.5",		"-3.5"
"-3.5-i",	"-3.5+i"
"-3.5-2.5i",	"-3.5+2.5i"
>>>>>>> 4ca226916dc6d810c7b68f9c6c8218f86b841690
