<<<<<<< HEAD
#Settlement	Maturity	Investment	Redemption	Basis	Result
"2008-02-15",	"2008-05-15",	1000000,	1014420,	2,	0.05768
"2005-04-01",	"2010-03-31",	1000,		2125,			0.225
"2008-02-15",	"2008-05-15",	1000000,	1014420,	"ABC",	"#VALUE!"
"2008-02-15",	"2008-05-15",	1000000,	-1014420,	2,	"#NUM!"
"Invalid Date",	"2008-05-15",	1000000,	1014420,	2,	"#VALUE!"
=======
#Settlement	Maturity	Investment	Redemption	Basis	Result
"2008-02-15",	"2008-05-15",	1000000,	1014420,	2,	0.05768
"2005-04-01",	"2010-03-31",	1000,		2125,			0.225
"2008-02-15",	"2008-05-15",	1000000,	1014420,	"ABC",	"#VALUE!"
"2008-02-15",	"2008-05-15",	1000000,	-1014420,	2,	"#NUM!"
"Invalid Date",	"2008-05-15",	1000000,	1014420,	2,	"#VALUE!"
>>>>>>> 4ca226916dc6d810c7b68f9c6c8218f86b841690
